證券代碼,公司名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
2317,鴻海,20221115,96.8222,97.7761,96.3452,96.8222,47027,4779761,0.0,0.3392,13862991,1407094,101.5,102.0,0.0,3.108,1.709,16800,9.64,9.048,0.97,1.0117,,0.2265,5.12,5.1232,0.0,1.4778,101.5,111.5,91.4,,,,TSE
1216,統一,20221115,65.7,66.1,65.5,66.0,9417,620445,-0.1513,0.1657,5682015,375013,65.9,66.0,-0.1514,0.828,0.222,4479,20.82,21.0075,3.06,3.3053,,0.7569,4.09,4.0909,-0.1,0.9077,66.0,72.6,59.4,,,,TSE
2330,台積電,20221115,457.707,479.362,454.754,472.472,118536,56191637,7.8652,0.4571,25930380,12446583,480.0,480.5,7.5712,27.492,20.089,139136,14.04,16.0483,4.55,4.9859,,6.6273,2.29,2.2917,35.0,5.618,480.0,528.0,432.0,,,,TSE
1216,統一,20221116,64.9,65.3,64.5,64.5,17593,1138989,-2.2727,0.3096,5682015,366490,64.5,64.6,-2.299,0.81,0.426,8970,20.35,20.5301,2.99,3.2302,,0.7397,4.19,4.186,-1.5,1.2121,64.5,70.9,58.1,,,,TSE
2317,鴻海,20221116,96.8222,97.7761,96.3452,96.8222,46862,4768522,0.0,0.338,13862991,1407094,101.5,102.0,0.0,3.11,1.784,20569,9.64,9.048,0.97,1.0117,,0.2265,5.12,5.1232,0.0,1.4778,101.5,111.5,91.4,,,,TSE
2330,台積電,20221116,483.791,486.252,473.948,479.362,88416,43103738,1.4583,0.341,25930380,12628095,486.5,487.0,1.4478,27.91,16.13,98338,14.24,16.2824,4.61,5.0586,,6.724,2.26,2.2587,7.0,2.6042,487.0,535.0,438.5,,,,TSE
2317,鴻海,20221117,96.8222,97.2991,96.3452,96.8222,26583,2695972,0.0,0.1918,13862991,1407094,101.5,102.0,0.0,3.11,1.183,12390,9.64,9.048,0.97,1.0117,,0.2265,5.12,5.1232,0.0,0.9852,101.5,111.5,91.4,,,,TSE
2330,台積電,20221117,474.933,477.393,467.55,477.393,46850,22547582,-0.4107,0.1807,25930380,12576235,484.5,485.0,-0.4115,27.799,9.896,57331,14.18,16.2155,4.59,5.0378,,6.6963,2.27,2.268,-2.0,2.0534,485.0,533.0,436.5,,,,TSE
1216,統一,20221117,64.5,64.7,63.9,64.1,12704,814357,-0.6202,0.2236,5682015,364217,64.1,64.3,-0.6221,0.805,0.357,7481,20.22,20.4028,2.97,3.2101,,0.7351,4.21,4.2122,-0.4,1.2403,64.1,70.5,57.7,,,,TSE
2317,鴻海,20221118,96.8222,97.7761,95.8683,95.8683,45343,4593844,-0.9852,0.3271,13862991,1393231,100.5,101.0,-0.9901,3.086,2.045,23533,9.54,8.9588,0.96,1.0018,,0.2242,5.17,5.1741,-1.0,1.9704,100.5,110.5,90.5,,,,TSE
2330,台積電,20221118,483.791,486.252,478.378,479.362,37001,18131673,0.4124,0.1427,25930380,12628095,487.0,487.5,0.4115,27.971,8.071,41694,14.24,16.2824,4.61,5.0586,,6.724,2.26,2.2587,2.0,1.6495,487.0,535.0,438.5,,,,TSE
1216,統一,20221118,64.0,64.3,63.9,64.1,6904,441948,0.0,0.1215,5682015,364217,64.0,64.1,0.0,0.807,0.197,4311,20.22,20.4028,2.97,3.2101,,0.7351,4.21,4.2122,0.0,0.624,64.1,70.5,57.7,,,,TSE
1216,統一,20221121,64.1,64.4,63.7,64.2,10029,640854,0.156,0.1765,5682015,364785,64.1,64.2,0.1559,0.811,0.384,5248,20.25,20.4346,2.98,3.2152,,0.7363,4.21,4.2056,0.1,1.092,64.2,70.6,57.8,,,,TSE
2317,鴻海,20221121,96.3452,96.8222,95.3913,95.3913,30472,3062313,-0.4975,0.2198,13862991,1386299,100.0,100.5,-0.4988,3.082,1.836,15281,9.5,8.9143,0.96,0.9968,,0.2231,5.2,5.2,-0.5,1.4925,100.0,110.0,90.0,,,,TSE
