LR_obj,heuristic_obj,naive_obj,LR_time,heu_time,naive_time,heu_gap,naive_gap
13307002486,13415546451,14205128143,2.498132944,0.136051416,2.609980822,0.008156906,0.06749271
13610938167,13716761723,14537338336,2.565716982,0.140539885,2.760633945,0.007774891,0.068062918
13583972602,13692273512,14511401176,2.538695812,0.138400078,2.624882936,0.007972698,0.068273737
13535514786,13647693307,14477586695,2.639850855,0.140544653,2.711419106,0.008287717,0.069600006
13203788721,13314314653,14124703929,2.602735281,0.140459061,2.69376421,0.008370774,0.069746285
13325375067,13431560495,14258452867,2.627311945,0.134592056,2.585664034,0.007968663,0.070022629
13692230429,13803370105,14651794006,2.59648633,0.134166002,2.632946014,0.008116988,0.070080881
13413797800,13526456324,14354703275,2.586587906,0.13944602,2.687369823,0.008398705,0.0701446
13671956963,13781959639,14634796053,2.582662821,0.136526108,2.681932926,0.008045862,0.07042438
971418636.8,978687380.8,1062768560,0.23003602,0.010491848,0.279435635,0.007482607,0.094037647
1077939300,1082037215,1181583276,0.20955801,0.029300928,0.225800991,0.003801619,0.096150104
970118532.7,977675821.7,1066018203,0.249104023,0.040498972,0.224380255,0.007790068,0.098853559
824291617.8,831162559.8,906751126,0.280071259,0.010215998,0.227390051,0.008335572,0.100036815
968548440.8,977036219.8,1065941800,0.193755865,0.014820099,0.266494036,0.008763402,0.100556002
952945950.7,960713618.1,1048857932,0.1930902,0.04193306,0.255965948,0.008151215,0.100647871
1027688622,1036084560,1134644844,0.202489853,0.010440111,0.257869005,0.00816973,0.104074542
964070312.9,972375544.3,1065109507,0.205832958,0.010500193,0.251579762,0.008614757,0.104804798
997017979.1,1005607849,1101628170,0.210805893,0.010305166,0.212345839,0.008615561,0.104923074
1048788609,1056775994,1161590975,0.242027044,0.01020503,0.228126049,0.007615819,0.107554911
1037551457,1046118934,1151589770,0.234349012,0.032819271,0.215801001,0.0082574,0.109910995
1026498203,1034470665,1139437504,0.229141951,0.015385151,0.244727135,0.007766659,0.110023866
1051652224,1055596575,1167473844,0.205105782,0.055768967,0.209307194,0.003750623,0.110133006
995554754.2,999569492.7,1105829627,0.234046936,0.043801069,0.222461939,0.004032665,0.11076726
1002438646,1011065767,1113810148,0.262274742,0.010820866,0.215031147,0.008606134,0.111100567
